assumption_id,sector,route_id,parameter_group,parameter_name,model_input_role,unit,low,base,high,value_type,case_orientation,price_year,currency,formula_or_method,source_id,source_location,rationale,quality_flag,boundary_note
CG_ST_H2_LIFE,steel,steel_h2_dri_eaf,resource_proxy,transition_lifetime_years,annualise_transition_capex,year,30,25,20,Estimated,cost_low_base_high,not_applicable,not_applicable,"cost-low/base/high cases use 30/25/20 years respectively",internal_method:PROJECT_PLAN.md#10.2,PROJECT_PLAN.md section 10.2,"Screening lifetime pending project-specific equipment data",D,"Analytical life; not an announced asset life"
CG_ST_H2_RATE,steel,steel_h2_dri_eaf,resource_proxy,real_discount_rate,annualise_transition_capex,fraction,0.03,0.05,0.07,Estimated,cost_low_base_high,not_applicable,not_applicable,"common real analytical discount rate sensitivity",internal_method:PROJECT_PLAN.md#4.5,PROJECT_PLAN.md section 4.5,"Pre-specified analytical rate; not company WACC or investor required return",D,"Common real rate only"
CG_ST_H2_FOPEX,steel,steel_h2_dri_eaf,resource_proxy,incremental_fixed_opex_fraction_of_transition_capex,annual_fixed_opex_proxy,fraction/year,0.015,0.025,0.040,Estimated,cost_low_base_high,2025,USD,"annual fixed OPEX proxy = transition CAPEX * fraction",IEA_STEEL_BREAKTHROUGH_2025,steel route cost-premium and power-price discussion,"Analyst screening range pending route-specific fixed O&M",D,"Incremental proxy; excludes energy and feedstock included in the variable-resource term"
CG_ST_H2_VARIABLE,steel,steel_h2_dri_eaf,resource_proxy,incremental_variable_resource_cost_per_operational_tco2e_abated,annual_variable_resource_gap_proxy,USD_2025/tCO2e_operational_abatement,20,60,120,Estimated,cost_low_base_high,2025,USD,"annual variable resource gap = modelled operational abatement * value",IEA_STEEL_BREAKTHROUGH_2025,steel route cost-premium and clean-power screening ranges,"Analyst proxy for hydrogen power feedstock and variable O&M exposure",D,"Not a published H2-DRI cost and not system-abatement cost"
CG_ST_H2_CARBON,steel,steel_h2_dri_eaf,verified_market_policy,verified_avoided_actual_carbon_cost_per_operational_tco2e_abated,verified_incentive_adjustment,USD_2025/tCO2e_operational_abatement,NA,NA,NA,Not_available,not_applicable,2025,USD,"no facility-level realised value acquired; do not zero-fill",internal_gap:policy_incentives.csv,DATA_CATALOG.md section 10,"Korean ETS allocation surrender and facility eligibility not yet acquired",NA,"Unknown is not zero; GCAM shadow prices are excluded"
CG_ST_H2_PREMIUM,steel,steel_h2_dri_eaf,verified_market_policy,verified_realised_green_premium_per_operational_tco2e_abated,verified_incentive_adjustment,USD_2025/tCO2e_operational_abatement,NA,NA,NA,Not_available,not_applicable,2025,USD,"no facility-level realised value acquired; do not zero-fill",internal_gap:contract_register,PROJECT_PLAN.md section 10.1,"No verified route- and facility-specific contract cash effect acquired",NA,"Unknown is not zero; announced demand is not realised cash"
CG_ST_H2_SUPPORT,steel,steel_h2_dri_eaf,verified_market_policy,verified_support_per_operational_tco2e_abated,verified_incentive_adjustment,USD_2025/tCO2e_operational_abatement,NA,NA,NA,Not_available,not_applicable,2025,USD,"no facility-level realised value acquired; do not zero-fill",internal_gap:policy_incentives.csv,DATA_CATALOG.md section 10,"No verified realised facility support acquired",NA,"Unknown is not zero; programme availability is not cash realisation"
CG_ST_H2_STRESS,steel,steel_h2_dri_eaf,support_stress,support_stress_share_of_annual_resource_gap,screening_support_sensitivity,fraction,0,0.25,0.50,Estimated,independent_support_axis,not_applicable,not_applicable,"stress-adjusted gap = annual resource gap - max(annual resource gap,0) * support share",internal_method:B0_BH_BL_BHL,Run 5 mechanism assumptions,"Independent support-coverage sensitivity for contract-dependent screening",D,"Not verified support and never reported as realised net gap"
CG_ST_SCRAP_LIFE,steel,steel_scrap_eaf,resource_proxy,transition_lifetime_years,annualise_transition_capex,year,30,25,20,Estimated,cost_low_base_high,not_applicable,not_applicable,"cost-low/base/high cases use 30/25/20 years respectively",internal_method:PROJECT_PLAN.md#10.2,PROJECT_PLAN.md section 10.2,"Screening lifetime pending project-specific equipment data",D,"Analytical life; not an announced asset life"
CG_ST_SCRAP_RATE,steel,steel_scrap_eaf,resource_proxy,real_discount_rate,annualise_transition_capex,fraction,0.03,0.05,0.07,Estimated,cost_low_base_high,not_applicable,not_applicable,"common real analytical discount rate sensitivity",internal_method:PROJECT_PLAN.md#4.5,PROJECT_PLAN.md section 4.5,"Pre-specified analytical rate; not company WACC or investor required return",D,"Common real rate only"
