company_id,item_type,facility_id,tech_id,year_stated,coverage_pct,resolution,source_id,quote
POSCO,tech_commit,POSCO_GWY_EAF1,steel_eaf,2026,,high,POSCO_ESG_ROADMAP,"2024년 2월, 2026년 가동을 목표로 포스코 광양제철소에 연산 250만 톤 규모의 전기로 공장을 착공하였습니다. 전기로 방식은 기존 고로 방식 대비 최대 75%까지 탄소 발생량을 저감할 수 있어…"
POSCO,tech_commit,,steel_h2dri,2030,,mid,POSCO_ESG_ROADMAP,포항제철소에 연산 30만 톤 규모의 데모플랜트 건설을 추진하고 있습니다. … 데모플랜트 기술개발에 역량을 집중하여 2030년까지 수소환원제철의 상용화 가능성을 검증한 후 경제적 수소 인프라를 기반으로 탈탄소 전환에 대응할 예정입니다.
POSCO,target,,steel_h2dri,2050,,mid,POSCO_ESG_ROADMAP,장기적으로는 수소 인프라를 기반으로 포스코형 수소환원제철인 HyREX 기술을 단계적으로 도입하여 탄소중립을 달성할 계획입니다. (머니투데이 2026.1.14: 2050년까지 포항·광양의 기존 고로 7기를 수소환원제철로 전환한다는 계획)
NSC,tech_commit,NSC_YAW_EAF1,steel_eaf,2029,,high,NSC_PR_20250530,"九州 八幡地区: 電炉1基 新設, 投資額 6,302億円, 生産能力 約200万t/年, 生産開始 2029年度下期. 「本日、日本製鉄は、『高炉プロセスから電炉プロセスへの転換』投資について…GX推進法に基づく…事業に採択され、それを受けて日本製鉄は本投資の実行を決定しました。」"
NSC,tech_commit,NSC_HIR_EAF2,steel_eaf,2029,,high,NSC_PR_20250530,"瀬戸内 広畑地区: 電炉1基 増設, 投資額 1,400億円, 生産能力 約50万t/年, 生産開始 2029年度下期. 「合計約290万t/年の生産能力の電炉転換により、約370万t/年のCO2排出量削減効果が見込まれ」(CN페이지)"
NSC,tech_commit,NSC_KIM_BF2,steel_h2dri,2026,,high,NSC_CN_COURSE50,「東日本製鉄所君津地区の第2高炉において、製鉄所内発生水素をベースとした水素系ガス吹込み技術の実証試験の実行に入ることを決定しました。2026年1月からの実証試験開始に向け…4500㎥の大型高炉実機を用いた高炉水素還元の実証試験は、世界的にみても初めて」
NSC,target,,,2030,,mid,NSC_CN_COURSE50,「当社は、2030年にCO2総排出量を対2013年比で30%削減するというターゲット、および2050年カーボンニュートラルを目指すというビジョンを掲げ」
LOTTE,target,,,2030,,mid,LOTTE_PR_2030,"「2030년에는 2019년 배출량 대비 25%를 저감하고 2050년에는 탄소중립을 달성할 예정이다. 이 과정에서 RE100 가입을 추진한다.」 김교현 부회장: 「에너지 효율 개선과 탄소포집기술(CCU) 적용을 확대하고, 신재생 에너지 도입 등 중장기 투자를 통해 탄소감축성장을 이루어 내겠다」"
LOTTE,tech_commit,LOTTE_DAE_NCC,petchem_ccus,2023,,mid,LOTTE_PR_2030,"약 600억원 투자로 대산공장에 연 20만t CO2 포집·액화 설비(2023년 하반기 상업생산 목표), 2030년까지 포집·활용 규모 연 50만t 확대 계획 (2021.12.5 보도자료 — 스니펫 확인, 준공 여부 미확인)"
MCI,tech_commit,MCI_OSK_CR,petchem_h2fuel,2030,,high,MCI_RELEASES,「分解炉にてナフサを約850℃で熱分解する際の燃料を、現状のメタンからクリーンアンモニアに転換し…全ての分解炉の燃料転換を行えば、CO2約70万トンが削減される見込みです。」「グリーンイノベーション基金によるNEDO研究開発案件として、2030年実装を目標に…4社で共同開発中」(주: 수소가 아닌 암모니아 연료 — tech_id는 근사 매핑)
MCI,timing,MCI_ICH_CR,,2027,,high,MCI_RELEASES,「（１）集約時期：2027年7月（出光千葉事業所における定期修理の終了後）（２）集約の方法：出光装置を停止し、三井装置に集約 …（５）集約後の事業形態：CCMにて三井装置を共同運営」
MCI,timing,MCI_OSK_CR,,2030,,high,MCI_RELEASES,"「2030年度を目途に…AMEC水島工場のエチレン製造設備を停止し、大阪石油化学株式会社（OPC）の設備へ集約することで合意し、基本契約を締結いたしました。」 투자 212억엔, CO2 ▲50.6万t/年, 統合前 95.1万t→統合後 45.5万t"
