anchor_id,sector,scenario,year,emissions_index_low,emissions_index_base,emissions_index_high,unit,reference_year,value_type,case_type,price_year,source_id,formula_or_method,quality_flag,boundary_note
ST_CP_2025,steel,current_policies_proxy,2025,1,1,1,index_2025_company_scope1plus2_equals_1,2025,estimated,common_start,not_applicable,NGFS_PHASE5_2024|IEA_STEEL_ROADMAP_2020,company baseline set to one at the common 2025 start,C,"NGFS defines the scenario; numerical path uses the global IEA STEPS steel anchor and is not a country-specific GCAM extract"
ST_CP_2030,steel,current_policies_proxy,2030,0.99,1.014,1.04,index_2025_company_scope1plus2_equals_1,2025,estimated,low_base_high,not_applicable,NGFS_PHASE5_2024|IEA_STEEL_ROADMAP_2020,base linearly interpolates from 1.0 in 2025 to the IEA stated 1.07 index in 2050; low/high bracket efficiency and demand uncertainty,D,"Global direct-CO2 STEPS direction scaled to company Scope 1+2; not a forecast or corporate target"
ST_CP_2040,steel,current_policies_proxy,2040,0.98,1.042,1.10,index_2025_company_scope1plus2_equals_1,2025,estimated,low_base_high,not_applicable,NGFS_PHASE5_2024|IEA_STEEL_ROADMAP_2020,base linearly interpolates from 1.0 in 2025 to 1.07 in 2050; low/high are analyst sensitivities,D,"Global direct-CO2 STEPS direction scaled to company Scope 1+2; not a forecast or corporate target"
ST_CP_2050,steel,current_policies_proxy,2050,0.95,1.07,1.18,index_2025_company_scope1plus2_equals_1,2025,estimated,low_base_high,not_applicable,NGFS_PHASE5_2024|IEA_STEEL_ROADMAP_2020,base uses the IEA statement that 2050 global steel direct CO2 is 7 percent above today; low/high are analyst sensitivities,D,"Global direct-CO2 STEPS direction scaled to company Scope 1+2; not a forecast or corporate target"
ST_NZ_2025,steel,net_zero_1p5c_proxy,2025,1,1,1,index_2025_company_scope1plus2_equals_1,2025,estimated,common_start,not_applicable,NGFS_PHASE5_2024|SBTI_STEEL_PATH_2024,company baseline set to one; SBTi 2025 ore-based benchmark is linearly interpolated between 2020 and 2030,C,"Company Scope 1+2 is scaled by an ore-based hot-rolled-steel intensity pathway; production growth and scope differences are not yet modelled"
ST_NZ_2030,steel,net_zero_1p5c_proxy,2030,0.75,0.8280871671,0.90,index_2025_company_scope1plus2_equals_1,2025,estimated,low_base_high,not_applicable,NGFS_PHASE5_2024|SBTI_STEEL_PATH_2024,base equals 1.71 divided by interpolated 2025 ore-based benchmark 2.065; low/high bracket rebasing and boundary uncertainty,C,"SBTi 1.5C ore-based intensity proxy; not a corporate carbon budget or a country-specific GCAM result"
ST_NZ_2040,steel,net_zero_1p5c_proxy,2040,0.30,0.3728813559,0.45,index_2025_company_scope1plus2_equals_1,2025,estimated,low_base_high,not_applicable,NGFS_PHASE5_2024|SBTI_STEEL_PATH_2024,base equals SBTi 2040 ore-based intensity 0.77 divided by interpolated 2025 benchmark 2.065,C,"SBTi 1.5C ore-based intensity proxy; not a corporate carbon budget or a country-specific GCAM result"
ST_NZ_2050,steel,net_zero_1p5c_proxy,2050,0.03,0.0532687651,0.10,index_2025_company_scope1plus2_equals_1,2025,estimated,low_base_high,not_applicable,NGFS_PHASE5_2024|SBTI_STEEL_PATH_2024,base equals SBTi 2050 ore-based intensity 0.11 divided by interpolated 2025 benchmark 2.065,C,"SBTi 1.5C ore-based intensity proxy; residual is not proof of company net zero because production and scopes differ"
CH_CP_2025,petrochemicals,current_policies_proxy,2025,1,1,1,index_2025_company_scope1plus2_equals_1,2025,estimated,common_start,not_applicable,NGFS_PHASE5_2024|IEA_PETCHEM_PATH_2018,company baseline set to one at the common 2025 start,C,"NGFS defines the scenario; numerical path uses the older IEA RTS as a transparent proxy pending a country-sector extract"
CH_CP_2030,petrochemicals,current_policies_proxy,2030,1.02,1.075,1.13,index_2025_company_scope1plus2_equals_1,2025,estimated,low_base_high,not_applicable,NGFS_PHASE5_2024|IEA_PETCHEM_PATH_2018,base linearly interpolates from 1.0 in 2025 to derived RTS index 1.375 in 2050; low/high bracket activity uncertainty,D,"RTS is not identical to NGFS Current Policies; company product mix and Scope 2 are not represented"
