gap_id,decision_area,current_state,current_evidence,target_state,priority,decision_impact,next_source_class,model_action,data_status,source_note
GAP_FACILITY_ASSET,facility_capacity_process,"17 modeled facility blocks; all model_estimate","Company totals reconcile but block allocation is synthetic","Named BF/EAF units with furnace count, nominal capacity, process route, operating status and source date",P0,Changes feasible transition packages and stranded-asset timing,Company works profiles and official project releases,Replace synthetic blocks only after company-total reconciliation,open_gap,"Do not add disclosed projects as incremental capacity without retirement/substitution mapping."
GAP_FACILITY_EMISSIONS,facility_emissions,"Company Scope 1+2 allocated to blocks","No facility-level verified emissions for modeled blocks","Site-level Scope 1/2 or verified process intensity with boundary map",P0,Changes abatement denominator and facility priority,Company environmental reports and government facility disclosures,Retain company total as control total and add site reconciliation bridge,open_gap,"Current block intensities are calibrated estimates."
GAP_REINVESTMENT,asset_life_reinvestment,"Commission and reinvestment years estimated for most blocks","Kobe No.3 BF 2016 reline is directly evidenced; project timings now captured separately","Unit-specific last reline, campaign life, announced shutdown and committed start-up dates",P0,Changes transition year and peak concurrent construction,Official reline/start-stop releases and works histories,Use committed project timing as hard window and life-cycle evidence as range,partially_evidenced,"Do not treat a works-level commissioning year as every furnace unit's age."
GAP_TECH_CAPEX,technology_capex_scope,"6 technology unit costs are model_estimate","7 official project-cost observations now retained with scope warnings","Low/base/high equipment and full-project CAPEX with a documented scope bridge",P0,Primary driver of absolute NPV and affordability,Company FID releases and government grant decisions,Estimate equipment-only bridge before recalibrating technologies.csv,partially_evidenced,"Observed EAF project costs span different ancillary scopes and cannot be averaged directly."
GAP_TECH_PERFORMANCE,technology_energy_emissions,"Electricity, hydrogen and residual-emissions intensities are model estimates","POSCO Gwangyang EAF mix and avoided emissions; Kobe high-HBI BF demonstration","Company/project-specific energy, raw-material mix, yield and verified emissions ranges",P0,Drives cash cost emissions and resource feasibility,Green bond impact reports and demonstration results,Create low/base/high performance cases with mass-energy checks,partially_evidenced,"Published reduction percentages require a defined baseline and system boundary."
GAP_RESOURCE_COMPANY,company_resource_supply,"32 company-scenario supply limits are model_estimate","11 official national benchmarks are context only","Site/company contracted scrap, hydrogen delivery and grid-connection capacity by year",P0,Determines whether candidates are executable,Connection agreements procurement contracts and port/logistics plans,Keep national context separate and replace company envelopes only with company evidence,open_gap,"National GW/MVA/Mt targets are not company TWh/Mt allocations."
GAP_PROJECT_MAPPING,project_to_model_mapping,"Official projects previously embedded only in notes","9 official projects now registered; 4 directly or partially mapped to modeled facilities","Explicit substitution, retirement, overlap, double-count and capacity-balance rules",P0,Prevents double-counted CAPEX/capacity and false feasibility,Company project scope and production-reorganization plans,Create project-to-facility bridge before enforcing projects in optimization,partially_evidenced,"New EAF capacity may replace BF output rather than add to company production."
GAP_POLICY_SUPPORT,policy_support,"16 policy support rates are model_estimate","Project-specific maximum grants now captured for Nippon Steel and JFE","Project-level eligible cost, award cap, payment timing and conditionality",P1,Changes net cash cost but not gross project economics,GX support award notices and contracts,Separate awarded support from scenario policy assumptions,partially_evidenced,"Maximum approved support is not necessarily cash received."
GAP_EXECUTION_RISK,construction_failure,"Company concurrency and technology failure probabilities are model_estimate","Historical 90-day Kobe BF reline and disclosed project schedules provide limited anchors","Reference-class schedule ranges, delay frequency and contractor bottleneck evidence",P1,Drives TCaR and candidate eligibility,Completed project histories EPC disclosures and industry reference classes,Replace point failure rates with stage-gated conditional distributions,open_gap,"A feasibility-study project should not carry the same failure process as an operating asset."
GAP_PRICE_CONTRACT,energy_contract_prices,"Price process and hedge shares are model estimates","No company-specific PPA/hydrogen/EPC price evidence","Contract tenor, indexation, volume, floor/cap and counterparty terms",P1,Major TCaR driver especially electricity,Company procurement disclosures and market contract benchmarks,Model correlated term structures and basis risk,open_gap,"Current hedge shares are scenario controls rather than disclosed contracts."
GAP_GCAM,gcam_pathways,"Official GCAM slots exist but remain inactive","GCAM 9.1 release and project target files verified; query exports pending","Reproducible 1.5C and 2.0C databases with query files, raw units, transformations and hashes",P0,Required for official dual climate frontiers,Official GCAM configured runs and BaseX exports,Activate only after manifest passes all query gates,pending_official_extract,"Corporate disclosure and internal stress pathways remain separate."
